order_id,customer_id,product_id,order_date,channel,region,quantity,unit_price,discount
1,448,16,2024-02-14,Marketplace,West,3,134.29,0.0
2,183,26,2024-03-10,Store,South,1,388.04,0.1
3,69,2,2024-12-26,Marketplace,East,2,416.89,0.15
4,357,16,2025-10-08,Online,South,1,360.86,0.15
5,19,10,2024-07-25,Online,South,1,164.64,0.1
6,264,13,2025-07-10,Store,East,1,379.11,0.05
7,147,12,2024-02-18,Marketplace,East,3,70.99,0.1
8,224,29,2025-02-13,Marketplace,West,4,176.13,0.05
9,255,23,2025-05-24,Store,East,1,366.27,0.0
10,221,20,2024-07-03,Marketplace,East,3,60.27,0.1
11,339,10,2024-11-09,Store,West,2,347.98,0.1
12,229,2,2024-12-27,Marketplace,West,3,323.34,0.0
13,39,22,2025-10-14,Store,East,5,402.54,0.05
14,488,1,2024-05-26,Marketplace,West,1,71.85,0.05
15,399,21,2025-01-10,Store,West,5,25.87,0.05
16,348,15,2025-01-14,Store,West,1,291.22,0.1
17,204,11,2025-10-27,Store,South,1,22.7,0.05
18,256,17,2025-01-31,Marketplace,North,3,389.73,0.15
19,110,20,2024-10-19,Marketplace,West,2,70.09,0.0
20,232,6,2025-12-31,Store,North,3,337.24,0.0
21,282,18,2024-10-24,Store,South,2,398.91,0.05
22,63,7,2024-05-22,Online,West,1,186.84,0.1
23,240,26,2025-07-18,Online,North,1,161.55,0.15
24,270,14,2025-02-23,Marketplace,North,2,486.47,0.0
25,231,15,2025-11-27,Marketplace,East,2,440.2,0.05
26,394,5,2025-03-19,Marketplace,North,1,263.87,0.1
27,85,6,2024-11-26,Marketplace,South,3,474.27,0.1
28,434,3,2024-09-13,Online,East,2,316.26,0.0
29,258,21,2024-06-21,Marketplace,South,2,332.78,0.1
30,432,30,2025-07-31,Online,North,1,32.28,0.1
31,334,7,2025-08-08,Store,North,4,445.61,0.1
32,329,10,2025-05-09,Online,West,3,232.24,0.0
33,81,15,2025-03-01,Store,West,2,176.69,0.05
34,161,28,2024-11-22,Marketplace,East,4,74.08,0.1
35,264,18,2024-04-18,Store,South,4,70.04,0.15
36,127,5,2024-04-09,Online,East,4,433.44,0.15
37,128,28,2024-06-12,Store,East,2,383.93,0.15
38,264,15,2025-05-25,Store,West,1,54.12,0.15
39,259,15,2024-09-03,Online,East,1,34.76,0.15
40,306,29,2025-10-31,Marketplace,West,3,272.98,0.0
41,221,5,2024-09-27,Marketplace,East,4,189.31,0.15
42,27,19,2025-07-29,Online,East,5,151.41,0.15
43,259,15,2025-07-17,Store,North,2,487.79,0.15
44,192,26,2024-12-13,Marketplace,East,2,107.54,0.15
45,257,2,2024-02-16,Online,South,3,403.94,0.15
46,77,20,2025-06-11,Online,East,5,166.08,0.15
47,316,24,2024-11-02,Marketplace,East,5,415.86,0.15
48,363,19,2024-11-02,Store,North,3,172.31,0.0
